,Unnamed: 0,Box Office,IMDB,Metacritic,Released,Rotten Tomatoes,Rank,Worldwide Box Office,Domestic Box Office,International Box Office,Awards,Actors_1,Actors_2,Actors_3,directors_1,directors_2,Country_1,language_1,language_2,Genre_1,Genre_2
90,90,103500000,7.9,79,41234,0.86,143,620912003,124987022,495924981,4,5597,2356,493,80,0,63,27,98,1,7
91,91,66305045,7.4,84,41180,0.93,936,170466405,66486205,103980200,0,3084,793,1790,1372,0,63,27,32,0,5
92,92,113709992,6.1,72,41089,0.8,935,170549753,113721571,56828182,0,4030,947,4523,1604,0,63,27,0,4,7
93,93,18400000,6.6,40,40935,0.32,2865,45688337,18620000,27068337,0,5241,3826,6091,102,0,63,27,92,0,1
94,94,15608545,5.4,51,41215,0.51,4549,22018988,15634090,6384898,0,4799,4991,5189,1353,0,63,27,57,0,0
95,95,15800000,7.1,86,41173,0.84,2663,50647416,16247159,34400257,0,2835,4781,4277,1283,0,63,27,0,7,0
96,96,179020854,6.8,58,41054,0.68,127,654213485,179020854,475192631,0,6063,5845,3095,119,0,63,27,103,0,1
97,97,77253083,6.1,36,41268,0.17,1312,120832383,77267296,43565087,0,640,589,3887,75,0,63,27,0,4,8
98,98,53400000,6.7,48,40970,0.28,1506,103028188,54731865,48296323,0,5742,4517,3040,1225,0,63,27,0,4,7
99,99,53400000,6.7,48,40970,0.28,5016,18532286,18532286,0,0,5742,4517,3040,1225,0,63,27,0,4,7
100,100,126464904,7.0,64,41068,0.73,284,402448265,126477084,275971181,0,4494,4158,982,1403,0,63,27,80,1,15
101,101,44794936,5.4,31,41234,0.14,2753,48164150,44806783,3357367,0,1025,3107,3103,320,0,63,27,51,0,18
102,102,44794936,5.4,31,41234,0.14,3193,38900000,38900000,0,0,1025,3107,3103,320,0,63,27,51,0,18
103,103,98800000,7.3,57,41234,0.74,452,306900902,103412758,203488144,0,1039,120,3133,1322,0,63,27,32,2,0
104,104,47300000,6.5,59,41096,0.51,1838,82513490,47323100,35190390,0,656,5676,11,1242,0,63,27,0,5,7
105,105,15000000,7.2,66,41194,0.82,3559,33035736,15024049,18011687,0,4213,4235,5237,1088,0,62,27,106,4,5
106,106,48100000,6.8,53,41194,0.63,1756,87727807,48086903,39640904,0,1861,3179,1954,1514,0,63,27,0,12,15
107,107,299300000,7.8,81,41222,0.92,25,1110526981,304360277,806166704,2,1287,3136,2624,1499,0,62,27,102,0,1
108,108,155081785,6.1,57,41061,0.49,288,401021746,155136755,245884991,0,3462,1025,982,1488,0,63,27,0,0,1
109,109,139852115,6.3,45,41187,0.22,310,377807404,139854287,237953117,0,3638,3813,1893,1243,0,17,27,102,0,20
110,110,218100000,6.9,62,41089,0.68,172,556016627,218665740,337350887,0,3919,4289,5358,1533,0,63,27,48,4,9
111,111,36900000,5.6,31,41075,0.2,2420,58085235,36931089,21154146,0,46,318,3584,1525,0,63,27,0,4,0
112,112,119000000,7.5,57,33025,0.82,557,261400000,119394839,142005161,1,438,4811,5392,1284,0,63,27,0,0,18
113,113,119000000,7.5,57,33025,0.82,734,211856088,58877969,152978119,1,438,4811,5392,1284,0,63,27,0,0,18
114,114,7600000,6.6,55,41278,0.52,6085,12394562,7597898,4796664,0,3994,565,5715,602,0,63,27,0,7,0
115,115,189412677,7.7,72,41215,0.87,206,496511521,189412677,307098844,0,2897,5288,2417,1374,0,63,27,0,2,1
116,116,65171860,6.3,51,41334,0.52,795,197687603,65187603,132500000,0,4427,1727,1884,205,0,63,27,0,1,9
117,117,234903076,6.3,44,41341,0.59,213,490359051,234770996,255588055,0,2493,4289,4814,1503,0,63,27,0,1,8
118,118,67344392,5.3,28,41319,0.15,458,304249198,67349198,236900000,0,793,2456,5348,859,0,63,27,78,0,20
119,119,4856227,6.9,61,41360,0.68,4491,22594052,2322593,20271459,0,2509,5977,5153,338,0,62,27,32,5,7
120,120,32154410,7.1,75,41313,0.82,2186,66742138,32172757,34569381,0,5144,871,3880,1604,0,63,27,32,5,7
121,121,13900000,5.3,63,41355,0.66,3706,31149251,14124286,17024965,0,2493,5353,5942,613,0,63,27,0,4,5
122,122,22525921,5.9,44,41348,0.37,4010,27392609,22537881,4854728,0,5545,5543,4527,433,0,63,27,92,1,4
123,123,21589307,7.4,76,41404,0.97,3674,31556959,21590086,9966873,0,4030,4883,5907,735,0,63,27,0,7,0
124,124,5132442,6.4,57,41390,0.53,5850,13632449,5132442,8500007,0,5073,5426,3169,1445,0,63,27,0,7,20
125,125,98600000,6.5,41,41355,0.49,1089,150562164,98927592,51634572,0,2084,8,1904,89,0,63,27,51,0,20
126,126,21300000,7.3,68,41383,0.79,2800,47011449,21403519,25607930,0,5199,1210,1874,413,0,63,27,92,5,7
127,127,122512052,5.8,41,41361,0.29,312,375740705,122523060,253217645,0,1641,3046,819,887,0,63,27,0,0,1
128,128,187165546,7.2,55,41355,0.71,163,573068425,187168425,385900000,0,4457,1811,5206,978,265,63,27,0,2,0
129,129,32536865,5.1,20,41285,0.1,2374,59922558,40041683,19880875,0,3932,3928,1854,1151,0,63,27,92,4,9
130,130,202351611,7.0,63,41446,0.66,188,531514650,202359711,329154939,0,700,4311,1306,1037,0,63,27,92,0,1
131,131,89021735,7.0,54,41383,0.53,495,287916633,89107235,198809398,0,5815,4343,4513,912,0,63,27,0,0,1
132,132,61656849,6.6,51,41579,0.61,1250,127983283,61737191,66246092,0,453,2204,2175,549,0,63,27,0,0,1
133,133,180443783,7.8,66,41621,0.74,47,960366855,258366855,702000000,0,2319,3946,4917,1313,0,63,27,0,1,9
134,134,291021565,7.1,55,41439,0.56,121,667999518,291045518,376954000,0,2255,253,4229,1776,0,63,27,0,0,1
135,135,101785482,6.9,65,41467,0.72,275,411002906,101802906,309200000,0,974,1553,2330,601,0,63,27,48,0,1
136,136,336663349,7.5,76,41600,0.89,64,864868047,424668047,440200000,0,2710,3637,2425,504,0,63,27,0,0,1
137,137,89289910,6.4,37,41458,0.31,560,260002115,89302115,170700000,0,3001,435,6075,586,0,63,27,64,0,1
138,138,132550960,6.7,61,41481,0.71,269,416456852,132556852,283900000,0,2301,5659,5003,687,0,63,27,48,0,1
139,139,90800000,6.6,61,41495,0.66,501,286192091,93050117,193141974,0,3994,2838,5385,1200,0,63,27,92,0,7
140,140,60522097,4.8,33,41425,0.11,582,251499665,60522097,190977568,0,2452,6063,5479,1031,0,63,27,0,0,1
141,141,33500000,5.6,25,41474,0.13,1909,79076678,33618855,45457823,0,2662,5206,3375,1448,0,63,27,0,0,1
142,142,206360018,7.0,54,41586,0.66,132,644602516,206362140,438240376,0,1025,4378,5825,26,0,63,27,0,0,1
143,143,228756232,7.7,72,41410,0.85,228,467381584,228778661,238602923,0,1039,6154,6171,657,0,63,27,50,0,1
144,144,117698894,7.3,50,41425,0.5,385,342769200,117723989,225045211,0,2762,3913,6106,1022,0,63,27,32,5,15
145,145,28800000,6.6,41,41502,0.32,2284,63129909,28795985,34333924,0,11,1009,4345,738,0,63,27,0,0,4
146,146,66076,5.9,0,41003,0.37,6276,11565792,122082,11443710,0,3150,1090,2173,1663,0,16,27,34,0,4
147,147,2818020,5.7,57,41383,0.42,9975,2940411,2850357,90054,0,2104,3410,2695,1771,1125,63,27,0,7,13
148,148,12802907,6.6,63,41159,0.63,2068,71004627,12816367,58188260,1,4028,1829,3328,801,0,62,27,0,7,17
149,149,3301046,6.5,41,41306,0.37,8074,6118797,3310031,2808766,0,94,1106,99,497,0,63,27,10,4,5
150,150,0,7.5,71,30421,0.95,3837,29400000,2400000,27000000,0,785,1770,4936,1503,0,63,27,0,12,0
151,151,95001343,7.5,62,41376,0.8,1602,97470701,95020213,2450488,0,941,2204,4460,184,0,63,27,0,3,7
152,152,54200000,6.5,57,41369,0.62,1594,97778356,54239856,43538500,0,2554,5427,3726,493,0,63,27,107,9,12
153,153,19600000,6.2,49,41292,0.29,3466,34480045,19701164,14778881,0,3919,5189,920,52,0,63,27,92,5,7
154,154,45996718,6.7,40,41285,0.32,1491,104100903,46000903,58100000,0,5344,2284,6008,1485,0,63,27,0,0,5
155,155,49300000,6.4,45,41390,0.5,1868,81275291,49875291,31400000,0,3919,1641,401,1118,0,63,27,0,0,4
156,156,71588220,6.2,57,41292,0.65,1110,148095566,71628180,76467386,0,2773,4477,4079,77,0,10,27,0,12,20
157,157,91024535,6.2,48,41705,0.44,405,330780051,106580051,224200000,0,5593,1870,3590,1229,0,63,27,0,0,9
158,158,21501098,7.4,68,41481,0.84,4049,26853810,21502690,5351120,0,5545,5850,209,1190,776,63,27,0,4,7
159,159,127400000,5.4,19,41467,0.07,600,247023808,133668525,113355283,0,46,3392,1043,408,0,63,27,92,4,0
160,160,17411930,6.3,50,41327,0.41,3980,27704111,17418667,10285444,0,3365,3100,1238,1521,0,63,27,0,12,18
161,161,68558662,5.8,0,41493,0.39,785,200859554,68559554,132300000,0,3700,156,1626,1653,0,63,27,0,1,8
162,162,5500000,5.6,66,41446,0.59,6077,12407491,5845732,6561759,0,3281,2374,1813,1553,0,63,27,0,3,5
163,163,134455175,5.7,35,41313,0.19,906,175361578,134506920,40854658,0,2585,4102,3018,1532,0,63,27,92,1,4
164,164,21500000,5.6,28,41390,0.07,2748,48425971,21819348,26606623,0,5042,3262,1537,932,0,63,27,92,4,7
165,165,6787,6.1,49,41348,0.48,9048,4207102,7034,4200068,0,2509,3917,285,472,0,62,27,0,0,5
166,166,700000,5.7,37,41416,0.41,8893,4494560,775849,3718711,0,5199,3471,5998,1220,0,15,27,99,5,7
167,167,8700000,4.3,18,41299,0.05,3703,31164747,8840453,22324294,0,1506,2143,1172,466,1598,63,27,0,4,12
168,168,0,6.7,51,41348,0.45,2110,69821476,51872378,17949098,0,2185,19,4345,166,0,63,27,0,5,7
169,169,55000000,6.1,23,41299,0.15,713,214949716,55703475,159246241,0,2741,2025,1893,1695,0,18,27,0,0,9
170,170,64400000,5.7,41,41432,0.39,1700,91266581,64473115,26793466,0,1861,3590,4050,673,0,63,27,0,12,20
171,171,42908315,6.5,51,41327,0.56,2424,57907734,42930462,14977272,0,1641,527,3014,1373,0,63,27,92,0,7
172,172,0,9.0,90,27383,0.97,2442,57300000,57300000,0,0,94,5045,1537,502,0,63,27,47,5,7
173,173,0,8.7,80,27717,0.94,1431,108997629,108981275,16354,0,2421,3734,6059,1179,0,63,27,0,7,0
174,174,0,8.5,94,29082,0.96,1870,81250485,78800000,2450485,2,3931,3953,5045,502,0,63,27,32,7,21
175,175,0,8.5,89,29028,0.97,772,203630630,80930630,122700000,1,5833,5442,5956,1403,0,62,27,0,12,18
176,176,0,8.2,89,30127,0.9,3164,39342912,32656328,6686584,0,2204,5194,5346,1403,0,63,27,34,18,20
177,177,0,7.2,41,30400,0.64,4162,25697647,25697647,0,0,820,3995,4828,502,0,63,27,0,5,7
178,178,656161,8.3,65,30659,0.81,2897,44942821,44942821,0,0,94,5571,4256,181,0,63,27,92,5,7
179,179,0,8.0,84,30981,1.0,1930,78019031,38019031,40000000,0,438,4134,3656,671,0,62,27,92,0,18
180,180,0,8.3,76,31968,0.92,2890,45015999,45015999,0,0,4031,24,5978,1559,0,62,27,106,7,21
181,181,0,8.2,72,32344,0.93,1168,139109346,81350242,57759104,0,793,688,4889,856,0,63,27,34,0,20
182,182,0,8.6,77,34957,0.89,3469,34449356,23341568,11107788,2,5511,1974,560,205,0,63,27,42,5,15
183,183,0,8.2,76,35048,0.86,839,187435770,67436818,119998952,0,94,5042,5931,1136,0,63,27,92,5,7
184,184,0,8.2,76,35048,0.86,3463,34493095,34493095,0,0,94,5042,5931,1136,0,63,27,92,5,7
185,185,0,7.0,59,35249,0.64,77,817400878,306169255,511231623,1,6063,627,2669,1472,0,63,27,0,0,1
186,186,0,8.3,70,35804,0.97,670,225925989,138433435,87492554,2,3994,542,5506,602,0,63,27,0,7,17
187,187,0,6.7,42,35977,0.38,175,554600000,201578182,353021818,0,793,634,542,1118,0,63,27,78,0,1
188,188,0,8.1,90,35951,0.94,548,264118201,125618201,138500000,0,2793,3536,4483,1327,0,63,27,0,4,7
189,189,0,8.4,86,36434,0.88,354,356258047,130058047,226200000,5,3403,378,5747,1499,0,63,27,0,7,0
190,190,0,6.4,41,36336,0.4,658,228641283,163479795,65161488,0,46,2872,3026,408,0,63,27,47,4,7
191,191,0,8.6,61,36504,0.79,487,290701374,136801374,153900000,0,5823,1409,689,511,0,63,27,32,5,7
192,192,0,7.0,48,36287,0.58,270,416385488,155385488,261000000,0,730,4814,2930,1577,0,63,27,26,0,1
193,193,0,7.0,48,36287,0.58,277,409953905,80101125,329852780,0,730,4814,2930,1577,0,63,27,26,0,1
194,194,0,7.8,68,36210,0.8,6124,12179708,10827813,1351895,0,5134,2697,1393,1171,0,63,27,0,4,0
195,195,0,8.1,64,36378,0.86,120,672806292,293506292,379300000,0,793,2183,5850,1031,0,63,27,54,7,15
196,196,0,7.9,88,36488,1.0,200,511358276,245852179,265506097,0,5823,5758,2823,848,104,63,27,6,2,1
197,197,0,7.6,64,36630,0.68,3483,34270285,15070285,19200000,0,1049,3197,3105,1093,0,63,27,92,5,7
198,198,0,6.2,48,36714,0.53,513,277200000,157019771,120180229,0,869,1350,1931,943,0,63,27,0,4,0
199,199,30093107,8.3,55,36910,0.73,1819,83593107,30093107,53500000,0,560,1501,5990,604,0,62,27,78,4,5
200,200,34034168,8.1,78,37197,0.96,169,559757719,289423425,270334294,1,2928,640,3966,1295,391,63,27,0,2,1
201,201,92930005,7.2,60,37533,0.68,759,206455420,92955420,113500000,0,398,1708,4826,178,0,18,27,32,5,7
202,202,403706375,7.3,73,37379,0.9,75,821706375,403706375,418000000,0,5793,6066,3442,1503,0,63,27,0,0,1
203,203,105996316,7.0,68,37771,0.73,899,176262839,106126012,70136827,0,3919,982,1603,491,0,63,27,78,0,5
204,204,281500000,7.2,62,37756,0.73,102,738576929,281553689,457023240,0,4856,1066,310,988,1015,63,27,32,0,18
205,205,66257002,8.0,58,37995,0.75,1289,123954323,66432867,57521456,0,1884,115,639,1654,0,63,27,17,1,7
206,206,114173690,6.7,55,38156,0.7,956,167791704,114326736,53464968,0,5974,1073,556,1366,0,63,27,34,4,19
207,207,249358727,7.9,82,38142,0.9,82,796907323,249757726,547149597,0,1296,4949,4566,46,0,62,27,0,1,8
208,208,0,8.0,0,38296,0.9,147,614726752,261441092,353285660,2,1209,2279,5253,167,0,63,27,32,2,0
209,209,44478018,6.9,64,38226,0.71,2845,46122713,44540956,1581757,0,3022,3020,9,709,0,63,27,0,4,0
210,210,13464388,7.9,76,38254,0.92,3764,30332385,13542874,16789511,0,5449,3238,4434,458,0,62,27,0,4,12
211,211,55382847,7.8,69,38478,0.74,1542,101173038,55334418,45838620,3,3232,1339,5259,1274,0,63,27,70,5,7
212,212,55382847,7.8,69,38478,0.74,9629,3357324,3357324,0,3,3232,1339,5259,1274,0,63,27,70,5,7
213,213,289994397,7.7,0,38674,0.81,55,897099794,290201752,606898042,0,1834,5781,1428,1176,0,62,27,32,1,8
214,214,244052771,7.1,73,38877,0.74,232,461651246,244082982,217568264,0,4556,4655,689,848,798,63,27,47,2,4
215,215,200100000,6.1,72,38896,0.75,317,374085065,200120000,173965065,0,715,3242,3403,205,0,63,27,34,0,1
216,216,148213377,6.6,66,38933,0.71,989,162870525,148213377,14657148,0,6054,2897,5214,5,0,63,27,32,4,19
217,217,234300000,6.7,58,38863,0.58,233,459260946,234362462,224898484,0,2301,2185,2319,178,0,10,27,0,0,1
218,218,227400000,8.0,85,39297,0.92,248,444043396,227471070,216572326,3,3994,3154,1426,1272,0,63,27,32,0,15
219,219,134500000,7.1,69,39260,0.82,306,382288147,134529403,247758744,0,793,5780,3195,1006,0,63,27,47,0,20
220,220,74223625,8.1,91,39407,0.93,979,164035753,74273505,89762248,4,5845,2624,3095,488,802,63,27,92,5,7
221,221,112408657,8.0,96,39262,0.96,138,626549695,206445654,420104041,1,4621,2318,3725,167,703,63,27,32,2,1
222,222,121463226,7.6,76,39311,0.87,940,169955142,121463226,48491916,0,3030,4145,1099,592,0,63,27,0,4,0
223,223,40133435,8.2,93,39472,0.91,1950,77208711,40222514,36986197,2,1288,3955,4014,1283,0,63,27,3,7,0
