Position,Const,Created,Modified,Description,Title,URL,Title Type
4001,tt0107507,2013-04-23,2013-04-23,,Manhattan Murder Mystery,https://www.imdb.com/title/tt0107507/,movie
4002,tt0096118,2013-04-23,2013-04-23,,Sleepaway Camp II: Unhappy Campers,https://www.imdb.com/title/tt0096118/,movie
4003,tt0089013,2013-04-23,2013-04-23,,Dèmoni,https://www.imdb.com/title/tt0089013/,movie
4004,tt0095925,2013-04-23,2013-04-23,,Pumpkinhead,https://www.imdb.com/title/tt0095925/,movie
4005,tt0089424,2013-04-23,2013-04-23,,Kiss of the Spider Woman,https://www.imdb.com/title/tt0089424/,movie
4006,tt0089853,2013-04-23,2013-04-23,,The Purple Rose of Cairo,https://www.imdb.com/title/tt0089853/,movie
4007,tt0091817,2013-04-23,2013-04-23,,Rad,https://www.imdb.com/title/tt0091817/,movie
4008,tt0096426,2013-04-23,2013-04-23,,Waxwork,https://www.imdb.com/title/tt0096426/,movie
4009,tt0086969,2013-04-23,2013-04-23,,Birdy,https://www.imdb.com/title/tt0086969/,movie
4010,tt0084234,2013-04-23,2013-04-23,,The Last American Virgin,https://www.imdb.com/title/tt0084234/,movie
4011,tt0082782,2013-04-23,2013-04-23,,My Bloody Valentine,https://www.imdb.com/title/tt0082782/,movie
4012,tt0081114,2013-04-23,2013-04-23,,Maniac,https://www.imdb.com/title/tt0081114/,movie
4013,tt0083111,2013-04-23,2013-04-23,,Southern Comfort,https://www.imdb.com/title/tt0083111/,movie
4014,tt0084737,2013-04-23,2013-04-23,,Summer Lovers,https://www.imdb.com/title/tt0084737/,movie
4015,tt0081506,2013-04-23,2013-04-23,,Shogun Assassin,https://www.imdb.com/title/tt0081506/,movie
4016,tt0080771,2013-04-23,2013-04-23,,Galaxina,https://www.imdb.com/title/tt0080771/,movie
4017,tt0086429,2013-04-23,2013-04-23,,Testament,https://www.imdb.com/title/tt0086429/,movie
4018,tt0079688,2013-04-23,2013-04-23,,Over the Edge,https://www.imdb.com/title/tt0079688/,movie
4019,tt0083833,2013-04-23,2013-04-23,,Diner,https://www.imdb.com/title/tt0083833/,movie
4020,tt2828996,2013-04-23,2013-04-23,,A Haunted House 2,https://www.imdb.com/title/tt2828996/,movie
4021,tt0900387,2013-04-23,2013-04-23,,Suite Française,https://www.imdb.com/title/tt0900387/,movie
4022,tt1430612,2013-04-23,2013-04-23,,Brick Mansions,https://www.imdb.com/title/tt1430612/,movie
4023,tt2465140,2013-04-23,2013-04-23,,The Single Moms Club,https://www.imdb.com/title/tt2465140/,movie
4024,tt2452200,2013-04-23,2013-04-23,,Son of a Gun,https://www.imdb.com/title/tt2452200/,movie
4025,tt0070643,2013-04-23,2013-04-23,,Scarecrow,https://www.imdb.com/title/tt0070643/,movie
4026,tt0070895,2013-04-23,2013-04-23,,Walking Tall,https://www.imdb.com/title/tt0070895/,movie
4027,tt0073580,2013-04-23,2013-04-23,,Professione: reporter,https://www.imdb.com/title/tt0073580/,movie
4028,tt0071222,2013-04-23,2013-04-23,,Black Christmas,https://www.imdb.com/title/tt0071222/,movie
4029,tt0072285,2013-04-23,2013-04-23,,Thriller - en grym film,https://www.imdb.com/title/tt0072285/,movie
4030,tt0069834,2013-04-23,2013-04-23,,Cahill U.S. Marshal,https://www.imdb.com/title/tt0069834/,movie
4031,tt0072933,2013-04-23,2013-04-23,,Emmanuelle: L'antivierge,https://www.imdb.com/title/tt0072933/,movie
4032,tt0074156,2013-04-23,2013-04-23,,Assault on Precinct 13,https://www.imdb.com/title/tt0074156/,movie
4033,tt0074906,2013-04-23,2013-04-23,,The Missouri Breaks,https://www.imdb.com/title/tt0074906/,movie
4034,tt0076070,2013-04-23,2013-04-23,,The Gauntlet,https://www.imdb.com/title/tt0076070/,movie
4035,tt0076929,2013-04-23,2013-04-23,,Wizards,https://www.imdb.com/title/tt0076929/,movie
4036,tt0075765,2013-04-23,2013-04-23,,Black Sunday,https://www.imdb.com/title/tt0075765/,movie
4037,tt0075809,2013-04-23,2013-04-23,,The Car,https://www.imdb.com/title/tt0075809/,movie
4038,tt0077355,2013-04-23,2013-04-23,,Coma,https://www.imdb.com/title/tt0077355/,movie
4039,tt0081529,2013-04-23,2013-04-23,,Smokey and the Bandit II,https://www.imdb.com/title/tt0081529/,movie
4040,tt0082377,2013-04-23,2013-04-23,,The Final Conflict,https://www.imdb.com/title/tt0082377/,movie
4041,tt0077474,2013-04-23,2013-04-23,,The Driver,https://www.imdb.com/title/tt0077474/,movie
4042,tt0077578,2013-04-23,2013-04-23,,Foul Play,https://www.imdb.com/title/tt0077578/,movie
4043,tt0071502,2013-04-23,2013-04-23,,Il fiore delle mille e una notte,https://www.imdb.com/title/tt0071502/,movie
4044,tt0083798,2013-04-23,2013-04-23,,Dead Men Don't Wear Plaid,https://www.imdb.com/title/tt0083798/,movie
4045,tt0087062,2013-04-23,2013-04-23,,City Heat,https://www.imdb.com/title/tt0087062/,movie
4046,tt0087385,2013-04-23,2013-04-23,,Hardbodies,https://www.imdb.com/title/tt0087385/,movie
4047,tt0087386,2013-04-23,2013-04-23,,Harry & Son,https://www.imdb.com/title/tt0087386/,movie
4048,tt0088272,2013-04-23,2013-04-23,,Tightrope,https://www.imdb.com/title/tt0088272/,movie
4049,tt0087507,2013-04-23,2013-04-23,,Johnny Dangerously,https://www.imdb.com/title/tt0087507/,movie
4050,tt0091306,2013-04-23,2013-04-23,,Jumpin' Jack Flash,https://www.imdb.com/title/tt0091306/,movie
4051,tt0091983,2013-04-23,2013-04-23,,Something Wild,https://www.imdb.com/title/tt0091983/,movie
4052,tt0092608,2013-04-23,2013-04-23,,Back to the Beach,https://www.imdb.com/title/tt0092608/,movie
4053,tt0092974,2013-04-23,2013-04-23,,Ernest Goes to Camp,https://www.imdb.com/title/tt0092974/,movie
4054,tt0093277,2013-04-23,2013-04-23,,Ironweed,https://www.imdb.com/title/tt0093277/,movie
4055,tt0093483,2013-04-23,2013-04-23,,Malone,https://www.imdb.com/title/tt0093483/,movie
4056,tt0093793,2013-04-23,2013-04-23,,Project X,https://www.imdb.com/title/tt0093793/,movie
4057,tt0095169,2013-04-23,2013-04-23,,For Keeps?,https://www.imdb.com/title/tt0095169/,movie
4058,tt0097388,2013-04-23,2013-04-23,,Friday the 13th Part VIII: Jason Takes Manhattan,https://www.imdb.com/title/tt0097388/,movie
4059,tt0095409,2013-04-23,2013-04-23,,Johnny Be Good,https://www.imdb.com/title/tt0095409/,movie
4060,tt0095897,2013-04-23,2013-04-23,,The Presidio,https://www.imdb.com/title/tt0095897/,movie
4061,tt0099740,2013-04-23,2013-04-23,,Hardware,https://www.imdb.com/title/tt0099740/,movie
4062,tt0098519,2013-04-23,2013-04-23,,Troop Beverly Hills,https://www.imdb.com/title/tt0098519/,movie
4063,tt0100318,2013-04-23,2013-04-23,,Pacific Heights,https://www.imdb.com/title/tt0100318/,movie
4064,tt0102984,2013-04-23,2013-04-23,,Stone Cold,https://www.imdb.com/title/tt0102984/,movie
4065,tt0103016,2013-04-23,2013-04-23,,Switch,https://www.imdb.com/title/tt0103016/,movie
4066,tt0101821,2013-04-23,2013-04-23,,Ernest Scared Stupid,https://www.imdb.com/title/tt0101821/,movie
4067,tt0104412,2013-04-23,2013-04-23,,Hero,https://www.imdb.com/title/tt0104412/,movie
4068,tt0104695,2013-04-23,2013-04-23,,Leap of Faith,https://www.imdb.com/title/tt0104695/,movie
4069,tt0104926,2013-04-23,2013-04-23,,Mr. Baseball,https://www.imdb.com/title/tt0104926/,movie
4070,tt0106500,2013-04-23,2013-04-23,,CB4,https://www.imdb.com/title/tt0106500/,movie
4071,tt0107473,2013-04-23,2013-04-23,,Mad Dog and Glory,https://www.imdb.com/title/tt0107473/,movie
4072,tt0107711,2013-04-23,2013-04-23,,Nowhere to Run,https://www.imdb.com/title/tt0107711/,movie
4073,tt0107286,2013-04-23,2013-04-23,,Judgment Night,https://www.imdb.com/title/tt0107286/,movie
4074,tt0109402,2013-04-23,2013-04-23,,The Chase,https://www.imdb.com/title/tt0109402/,movie
4075,tt0109480,2013-04-23,2013-04-23,,Cops and Robbersons,https://www.imdb.com/title/tt0109480/,movie
4076,tt0109936,2013-04-23,2013-04-23,,Greedy,https://www.imdb.com/title/tt0109936/,movie
4077,tt0110064,2013-04-23,2013-04-23,,House Party 3,https://www.imdb.com/title/tt0110064/,movie
4078,tt0110093,2013-04-23,2013-04-23,,I Love Trouble,https://www.imdb.com/title/tt0110093/,movie
4079,tt0110538,2013-04-23,2013-04-23,,Mixed Nuts,https://www.imdb.com/title/tt0110538/,movie
4080,tt0110725,2013-04-23,2013-04-23,,On Deadly Ground,https://www.imdb.com/title/tt0110725/,movie
4081,tt0111323,2013-04-23,2013-04-23,,Surviving the Game,https://www.imdb.com/title/tt0111323/,movie
4082,tt0112499,2013-04-23,2013-04-23,,The Big Green,https://www.imdb.com/title/tt0112499/,movie
4083,tt0113451,2013-04-23,2013-04-23,,Jade,https://www.imdb.com/title/tt0113451/,movie
4084,tt0113552,2013-04-23,2013-04-23,,Kiss of Death,https://www.imdb.com/title/tt0113552/,movie
4085,tt0117011,2013-04-23,2013-04-23,,Maximum Risk,https://www.imdb.com/title/tt0117011/,movie
4086,tt0117979,2013-04-23,2013-04-23,,The Truth About Cats & Dogs,https://www.imdb.com/title/tt0117979/,movie
4087,tt0119123,2013-04-23,2013-04-23,,Fire Down Below,https://www.imdb.com/title/tt0119123/,movie
4088,tt0119142,2013-04-23,2013-04-23,,For Richer or Poorer,https://www.imdb.com/title/tt0119142/,movie
4089,tt0119572,2013-04-23,2013-04-23,,Love Jones,https://www.imdb.com/title/tt0119572/,movie
4090,tt0120004,2013-04-23,2013-04-23,,The Relic,https://www.imdb.com/title/tt0120004/,movie
4091,tt0120112,2013-04-23,2013-04-23,,She's So Lovely,https://www.imdb.com/title/tt0120112/,movie
4092,tt0120142,2013-04-23,2013-04-23,,The Sixth Man,https://www.imdb.com/title/tt0120142/,movie
4093,tt0120524,2013-04-23,2013-04-23,,Wishmaster,https://www.imdb.com/title/tt0120524/,movie
4094,tt0120576,2013-04-23,2013-04-23,,Dance with Me,https://www.imdb.com/title/tt0120576/,movie
4095,tt0120901,2013-04-23,2013-04-23,,Wrongfully Accused,https://www.imdb.com/title/tt0120901/,movie
4096,tt0120646,2013-04-23,2013-04-23,,The Deep End of the Ocean,https://www.imdb.com/title/tt0120646/,movie
4097,tt0120716,2013-04-23,2013-04-23,,Jakob the Liar,https://www.imdb.com/title/tt0120716/,movie
4098,tt0130121,2013-04-23,2013-04-23,,Mickey Blue Eyes,https://www.imdb.com/title/tt0130121/,movie
4099,tt0166943,2013-04-23,2013-04-23,,Music of the Heart,https://www.imdb.com/title/tt0166943/,movie
4100,tt0120834,2013-04-23,2013-04-23,,Snow Falling on Cedars,https://www.imdb.com/title/tt0120834/,movie
4101,tt0131646,2013-04-23,2013-04-23,,Wing Commander,https://www.imdb.com/title/tt0131646/,movie
4102,tt0165643,2013-04-23,2013-04-23,,Black and White,https://www.imdb.com/title/tt0165643/,movie
4103,tt0171580,2013-04-23,2013-04-23,,Nurse Betty,https://www.imdb.com/title/tt0171580/,movie
4104,tt0213203,2013-04-23,2013-04-23,,Rugrats in Paris: The Movie - Rugrats II,https://www.imdb.com/title/tt0213203/,movie
4105,tt0273799,2013-04-23,2013-04-23,,Max Keeble's Big Move,https://www.imdb.com/title/tt0273799/,movie
4106,tt0166276,2013-04-23,2013-04-23,,Monkeybone,https://www.imdb.com/title/tt0166276/,movie
4107,tt0279331,2013-04-23,2013-04-23,,Dark Blue,https://www.imdb.com/title/tt0279331/,movie
4108,tt0337711,2013-04-23,2013-04-23,,Rugrats Go Wild,https://www.imdb.com/title/tt0337711/,movie
4109,tt0358349,2013-04-23,2013-04-23,,Agent Cody Banks 2: Destination London,https://www.imdb.com/title/tt0358349/,movie
4110,tt0349169,2013-04-23,2013-04-23,,Breakin' All the Rules,https://www.imdb.com/title/tt0349169/,movie
